s.item_id,sales,items_sold,i.item_name
20949,794.0,159,Фирменный пакет майка 1С Интерес белый (34*42) 45 мкм
10447,15220.0,34,ГОЛОВОЛОМКА
19656,34680.75,33,ТЕРМИНАТОР ГЕНЕЗИС (3D BD+BD)
19655,9538.0,32,ТЕРМИНАТОР ГЕНЕЗИС
1583,123969.0,31,"Assassin's Creed: Синдикат. Специальное издание [PS4, русская версия]"
19657,22090.0,30,ТЕРМИНАТОР ГЕНЕЗИС (BD)
17717,32399.0,28,Прием денежных средств для 1С-Онлайн
9356,10773.0,27,Брелок Minecraft (blind-bag) Серия 2 в ассортименте
10449,18386.25,24,ГОЛОВОЛОМКА (BD)
21449,10776.0,24,ХРАНИТЕЛЬ ЛУНЫ
