day,sales
1,7.230130051485288E7
2,8.144155064935109E7
3,7.768368860514937E7
4,7.53519351012015E7
5,8.398158412160622E7
6,8.282532254110186E7
7,7.936228136961356E7
8,7.709918616704401E7
9,7.388574620353204E7
10,6.736328355092654E7
11,6.73566345802179E7
12,7.077234817270137E7
13,7.818655556820376E7
14,7.749710386032012E7
15,7.654509399892601E7
16,7.489249044772482E7
17,8.249646265758926E7
18,8.865078213925499E7
19,9.196983049767974E7
20,8.909591594374457E7
21,9.34777780684455E7
22,8.884992804948649E7
23,8.421697092139965E7
24,7.762495756808215E7
25,7.903827439346936E7
26,9.099611110795486E7
27,1.0214397910503206E8
28,9.232060227071145E7
29,1.2290741553116155E8
30,1.002330621131967E8
31,6.373503696822201E7
