item_id,sales,ABC,XYZ,item_name
7223,3178372.1010742188,A,X,"Uncharted: Натан Дрейк. Коллекция [PS4, русская версия]"
1583,2584789.880859375,A,X,"Assassin's Creed: Синдикат. Специальное издание [PS4, русская версия]"
7224,2256936.00390625,A,X,"Uncharted: Натан Дрейк. Коллекция. Специальное издание [PS4, русская версия]"
1578,2085006.25,A,X,"Assassin's Creed: Синдикат. Биг Бен [PS4, русская версия]"
3838,1489156.0,A,X,"Halo 5: Guardians. Коллекционное издание [Xbox One, русская версия] (CV4-00014)"
10202,1045725.1514892578,A,X,"Ведьмак 3: Дикая Охота - Дополнение Каменные Сердца (код загрузки, без диска) [PS4, русская версия]"
10201,1031492.801574707,A,X,"Ведьмак 3: Дикая Охота - Дополнение Каменные Сердца (код загрузки, без диска) [PC, русская версия]"
13449,1028598.0,A,X,"Комплект Sony PlayStation 4 (500 Gb) Black (CUH-1208A/B01) + Дополнительный контроллер черный"
1586,868142.7797851562,A,X,"Assassin's Creed: Синдикат. Чаринг-Кросс [PS4, русская версия]"
3756,758380.0,A,X,"Guitar Hero Live (Гитара + игра) [PS4, английская версия]"
