item_id,sales,ABC,XYZ,item_name
13403,517877.0,B,X,"\"Комплект \"\"Microsoft Xbox One 1TB  Limited Edition Halo 5 + \"\"Halo 5. Limited Edition\"\" [KF6-00012]\""
12124,506842.0,B,X,Игровая консоль. Xbox One 1 TB (5C6-00061)
3837,462407.8701171875,B,X,"Halo 5: Guardians [Xbox One, русская версия] (U9Z-00062)"
1581,429997.0,B,X,"Assassin's Creed: Синдикат. Грачи [PS4, русская версия]"
3729,429785.0,B,X,"Grand Theft Auto V (предзаказ3) [PC, Цифровая версия]"
5670,369433.5,B,X,PS4: Контроллер игровой беспроводной серый (Dualshock 4 Cont Anniversary Edition: CUH-ZCT1E: SCEE)
13448,313410.0,B,X,Комплект Sony PlayStation 4 (1Tb) Black (CUH-1208B) + игра Uncharted: Натан Дрейк. Коллекция
6066,307980.0,B,X,Radmin 3  - 522 лиц.
5748,245930.0,B,X,Photoshop 13 Windows Russian BOX
3839,244965.0,B,X,"Halo 5: Guardians. Ограниченное издание [Xbox One, русская версия] (CV3-00021)"
